USER_ID,PREFERRED_LOCATIONS,PREFERRED_PROGRAM,GRADE_PERCENTAGE
dishantvb@gmail.com,"Nova Scotia, New Brunswick, Prince Edward Island, Ontario",Computer Science,90
anshgwash@gmail.com,"Virginia, New York, Texas, Massachusetts",Computer Science,85
khandekarg@gmail.com,"Virginia, California, New York, Michigan, Illinois, Indiana, Wisconsin, Georgia",Engineering,89
johnmayer@gmail.com,"Connecticut, Montana, California, Georgia",Arts,92
yuvrajbehera@gmail.com,"Ontario, Alberta, British Columbia",Computer Science,87
jeffbezos@yahoo.com,"Washington, California, Texas, Oregon, Nevada, Massachusetts, Georgia",Commerce,97
bgarje@gmail.com,"New York, Colorado, Illinois, Missouri, Pennsylvania",Law,82
drsawant@gmail.com,"California, New York, Texas, Illinois, Pennsylvania, Ohio, Michigan, Massachusetts, Florida, North Carolina",Medicine,95
jimmyfallon@gmail.com,"Colorado, Virginia, Orgon, Minnesota",Commerce,78
annehathaway@gmail.com,"Arizona, Georgia, Indiana, Maryland",Science,86
spaceykacey@gmail.com,"Texas, Oklahoma, Louisiana, Arkansas",Arts,84
rajurastogi@gmail.com,"California, Texas, Illinois, New York",Engineering,75
bcombaba@gmail.com,"California, Texas, Illinois, New York, Florida",Commerce,69
kindacountry@gmail.com,"Ohio, Michigan, Indiana, Illinois, Iowa, Missouri, Kansas",Engineering,77
kendalljenner@gmail.com,"California, Washington, Oregon, Colorado, Nevada, Utah, Arizona",Science,82
madison@gmail.com,"Florida, Texas, Georgia, Alabama, New York, Pennsylvania, Maryland",Medicine,85
alexanderpayne@gmail.com,"Nebraska, South Dakota, Wyoming, Colorado, North Dakota, Kansas, Iowa, Minnesota, Missouri",Arts,89
siddas@gmail.com,"Nova Scotia, Ontario, Quebec, British Columbia, Alberta",Engineering,85
randomuser1@gmail.com,"California, Illinois, Michigan, TexasCalifornia, Michigan, Illinois, Georgia, Massachusetts, New York, Indiana, Arizona",Computer Science,65
randomuser2@gmail.com,"Florida, Ohio, Oregon, North Carolina, New York, Pennsylvania, Minnesota, Georgia",Arts,92
jollyllb@gmail.com,"New York, California, Massachusetts, Illinois, Pennsylvania, Virginia",Law,95
michaelbuble@gmail.com,"British Columbia, Manitoba, Alberta, Saskatchewan",Arts,79
elonma@gmail.com,"Ontario, New York, Massachusetts, British Columbia, California",Engineering,97
donaldtrump@gmail.com,"Pennsylvania, New York, Missouri, North Carolina, South Carolina, Vermont, Maine, Massachusetts, Illinois",Commerce,94
scienceboy@gmail.com,"California, Texas, Florida, New York, Illinois, Pennsylvania, Massachusetts",Science,78
compounder@gmail.com,"Missouri, Iowa, Idaho, Utah, Arkansas, New Mexico, Louisiana, Colorado, Oklahoma",Medicine,72%
